CustomerID;Loading
12346;TRUE
12347;TRUE
12348;TRUE
12349;TRUE
12350;TRUE
12352;TRUE
12353;TRUE
12354;TRUE
12355;TRUE
12356;TRUE
12357;TRUE
12358;TRUE
12359;TRUE
12360;TRUE
12361;TRUE
12362;TRUE
12363;TRUE
12364;TRUE
12365;TRUE
12367;TRUE
12370;TRUE
12371;TRUE
12372;TRUE
12373;TRUE
12374;TRUE
12375;TRUE
12377;TRUE
12378;TRUE
12379;TRUE
12380;TRUE
12381;TRUE
12383;TRUE
12384;TRUE
12386;TRUE
12388;TRUE
12390;TRUE
12391;TRUE
12393;TRUE
12394;TRUE
12395;TRUE
12397;TRUE
12398;TRUE
12399;TRUE
12401;TRUE
12402;TRUE
12403;TRUE
12405;TRUE
12406;TRUE
12407;TRUE
12408;TRUE
12409;TRUE
12410;TRUE
12412;TRUE
12413;TRUE
12414;TRUE
12415;TRUE
12417;TRUE
12418;TRUE
12420;TRUE
12421;TRUE
12422;TRUE
12423;TRUE
12424;TRUE
12425;TRUE
12426;TRUE
12427;TRUE
12428;TRUE
12429;TRUE
12430;TRUE
12431;TRUE
12432;TRUE
12433;TRUE
12434;TRUE
12435;TRUE
12436;TRUE
12437;TRUE
12438;TRUE
12441;TRUE
12442;TRUE
12444;TRUE
12445;TRUE
12446;TRUE
12447;TRUE
12448;TRUE
12449;TRUE
12450;TRUE
12451;TRUE
12452;TRUE
12453;TRUE
12454;TRUE
12455;TRUE
12456;TRUE
12457;TRUE
12458;TRUE
12461;TRUE
12462;TRUE
12463;TRUE
12464;TRUE
12465;TRUE
12468;TRUE
12471;TRUE
12472;TRUE
12473;TRUE
12474;TRUE
12475;TRUE
12476;TRUE
12477;TRUE
12478;TRUE
12479;TRUE
12480;TRUE
12481;TRUE
12483;TRUE
12484;TRUE
12488;TRUE
12489;TRUE
12490;TRUE
12491;TRUE
12492;TRUE
12493;TRUE
12494;TRUE
12497;TRUE
12498;TRUE
12500;TRUE
12501;TRUE
12502;TRUE
12503;TRUE
12504;TRUE
12505;TRUE
12506;TRUE
12507;TRUE
12508;TRUE
12509;TRUE
12510;TRUE
12512;TRUE
12513;TRUE
12514;TRUE
12515;TRUE
12516;TRUE
12517;TRUE
12518;TRUE
12519;TRUE
12520;TRUE
12521;TRUE
12522;TRUE
12523;TRUE
12524;TRUE
12526;TRUE
12527;TRUE
12528;TRUE
12530;TRUE
12531;TRUE
12532;TRUE
12534;TRUE
12535;TRUE
12536;TRUE
12538;TRUE
12539;TRUE
12540;TRUE
12541;TRUE
12544;TRUE
12545;TRUE
12546;TRUE
12547;TRUE
12548;TRUE
12550;TRUE
12551;TRUE
12552;TRUE
12553;TRUE
12556;TRUE
12557;TRUE
12558;TRUE
12559;TRUE
12560;TRUE
12561;TRUE
12562;TRUE
12564;TRUE
12565;TRUE
12566;TRUE
12567;TRUE
12569;TRUE
12571;TRUE
12572;TRUE
12573;TRUE
12574;TRUE
12576;TRUE
12577;TRUE
12578;TRUE
12579;TRUE
12580;TRUE
12581;TRUE
12582;TRUE
12583;TRUE
12584;TRUE
12585;TRUE
12586;TRUE
12587;TRUE
12588;TRUE
12589;TRUE
12590;TRUE
12591;TRUE
12592;TRUE
12593;TRUE
12594;TRUE
12596;TRUE
12597;TRUE
12598;TRUE
12599;TRUE
12600;TRUE
12601;TRUE
12602;TRUE
12603;TRUE
12604;TRUE
12605;TRUE
12607;TRUE
12609;TRUE
12610;TRUE
12611;TRUE
12612;TRUE
12613;TRUE
12614;TRUE
12615;TRUE
12616;TRUE
12617;TRUE
12618;TRUE
12619;TRUE
12620;TRUE
12621;TRUE
12622;TRUE
12623;TRUE
12624;TRUE
12625;TRUE
12626;TRUE
12627;TRUE
12628;TRUE
12630;TRUE
12631;TRUE
12633;TRUE
12635;TRUE
12637;TRUE
12638;TRUE
12639;TRUE
12640;TRUE
12641;TRUE
12642;TRUE
12643;TRUE
12644;TRUE
12645;TRUE
12646;TRUE
12647;TRUE
12648;TRUE
12649;TRUE
12650;TRUE
12651;TRUE
12652;TRUE
12653;TRUE
12654;TRUE
12656;TRUE
12657;TRUE
12658;TRUE
12659;TRUE
12660;TRUE
12662;TRUE
12664;TRUE
12665;TRUE
12666;TRUE
12667;TRUE
12668;TRUE
12669;TRUE
12670;TRUE
12672;TRUE
12673;TRUE
12674;TRUE
12676;TRUE
12678;TRUE
12679;TRUE
12680;TRUE
12681;TRUE
12682;TRUE
12683;TRUE
12684;TRUE
12685;TRUE
12686;TRUE
12688;TRUE
12689;TRUE
12690;TRUE
12691;TRUE
12693;TRUE
12694;TRUE
12695;TRUE
12697;TRUE
12700;TRUE
12701;TRUE
12702;TRUE
12703;TRUE
12704;TRUE
12705;TRUE
12707;TRUE
12708;TRUE
12709;TRUE
12710;TRUE
12712;TRUE
12713;TRUE
12714;TRUE
12715;TRUE
12716;TRUE
12717;TRUE
12718;TRUE
12719;TRUE
12720;TRUE
12721;TRUE
12722;TRUE
12723;TRUE
12724;TRUE
12725;TRUE
12726;TRUE
12727;TRUE
12728;TRUE
12729;TRUE
12731;TRUE
12732;TRUE
12733;TRUE
12734;TRUE
12735;TRUE
12736;TRUE
12738;TRUE
12739;TRUE
12740;TRUE
12743;TRUE
12744;TRUE
12747;TRUE
12748;TRUE
12749;TRUE
12750;TRUE
12752;TRUE
12753;TRUE
12754;TRUE
12755;TRUE
12756;TRUE
12757;TRUE
12758;TRUE
12759;TRUE
12762;TRUE
12763;TRUE
12764;TRUE
12766;TRUE
12769;TRUE
12770;TRUE
12772;TRUE
12775;TRUE
12778;TRUE
12779;TRUE
12781;TRUE
12782;TRUE
12783;TRUE
12784;TRUE
12785;TRUE
12787;TRUE
12789;TRUE
12790;TRUE
12791;TRUE
12792;TRUE
12793;TRUE
12794;TRUE
12795;TRUE
12797;TRUE
12798;TRUE
12802;TRUE
12808;TRUE
12809;TRUE
12811;TRUE
12812;TRUE
12814;TRUE
12815;TRUE
12816;TRUE
12817;TRUE
12818;TRUE
12820;TRUE
12821;TRUE
12822;TRUE
12823;TRUE
12824;TRUE
12826;TRUE
12827;TRUE
12828;TRUE
12829;TRUE
12830;TRUE
12831;TRUE
12832;TRUE
12833;TRUE
12834;TRUE
12836;TRUE
12837;TRUE
12838;TRUE
12839;TRUE
12840;TRUE
12841;TRUE
12842;TRUE
12843;TRUE
12844;TRUE
12845;TRUE
12847;TRUE
12849;TRUE
12851;TRUE
12852;TRUE
12853;TRUE
12854;TRUE
12855;TRUE
12856;TRUE
12857;TRUE
12863;TRUE
12864;TRUE
12865;TRUE
12866;TRUE
12867;TRUE
12868;TRUE
12870;TRUE
12871;TRUE
12872;TRUE
12873;TRUE
12875;TRUE
12876;TRUE
12877;TRUE
12878;TRUE
12879;TRUE
12881;TRUE
12882;TRUE
12883;TRUE
12884;TRUE
12885;TRUE
12886;TRUE
12888;TRUE
12890;TRUE
12891;TRUE
12893;TRUE
12895;TRUE
12897;TRUE
12901;TRUE
12902;TRUE
12904;TRUE
12906;TRUE
12908;TRUE
12909;TRUE
12910;TRUE
12912;TRUE
12913;TRUE
12915;TRUE
12916;TRUE
12917;TRUE
12919;TRUE
12920;TRUE
12921;TRUE
12922;TRUE
12923;TRUE
12924;TRUE
12925;TRUE
12928;TRUE
12929;TRUE
12930;TRUE
12931;TRUE
12933;TRUE
12935;TRUE
12936;TRUE
12937;TRUE
12938;TRUE
12939;TRUE
12940;TRUE
12942;TRUE
12943;TRUE
12944;TRUE
12945;TRUE
12947;TRUE
12948;TRUE
12949;TRUE
12950;TRUE
12951;TRUE
12952;TRUE
